username,rating,comment
t*****5,5,"fast delivery.
Items well packing and received in good condition.
👍🏻👍🏻"
n*****l,5,"Fast delivery
Good product quality
Overall great
Will buy again"
s*****8,5,"Not yet try, well packed by seller.  hope everything okay. Thank you seller......."
d*****n,5,"Very good . Fast delivery, received in good condition. Buy in promotion time . Very affordable . Good ! Packaging also very nice"
m*****8,5,Just bored at home. Try something new. Can't wait to try. Looks good.
terrhon09,5,Items received in good condition fast delivery good value for money.
terrhon09,5,Items received in good condition fast delivery good value for money.
s*****u,5,"Received in good condition..
Good value for money...
Thanks.."
rachel_wong96,5,"Haven’t tried this brand before, will update when I try it next week."
c*****w,5,Packaged well…. Haven’t tried it yet but seems good 😊 😁👍☺️😁🤣
cet123455,5,"Fast delivery,  good quality, thanks seller 😍😍😍🥰🥰🥰🥰🥰🥰"
i*****g,5,Repeated buying with this seller everything is just good and nice.
6c4_c7zrx9pbzf2449fxetd51smx,5,Good product of quality and quantity. Good value of money.
shanngau,5,"Very well packed, all goods arrived in good  condition.  Thank you."
i*****y,5,"Sorry for irrelevant video haha
Delivery quite fast 👍🏻 item received in good condition"
p*****y,5,"Haven't tried it out yet, but it looks like it's quite worth the money!"
qianqingsim,5,"Thanks seller fast delivery

Thanks seller fast delivery

Thanks seller fast delivery"
c*****r,5,"Good Quality, Fast Delivery, Good Seller品质不错可以买，物流还蛮快的，服务算不错了。呃我没有拍到照片，因为拿到的当天就被我吃完了，哈哈。"
a*****q,5,"Quality:good
Taste:haven't try

Good value for money 💸
Good packaging 
Fast delivery"
aimeilee402,5,"Received already my think , good condition , good wrappings , thanks"
l*****8,5,Fast delivery. Everything is in order. Thanks for the free gift.
chocx,5,The packing is good and the price and product are excellent i will buy it again
matthon74,5,Items received in good condition. Good value for money with cashback
bentan1214,5,Fast Delivery. Well packed. Good service. Fast reply from seller.
k*****8,5,Product quality is okay. Packaging is okay and well packed. Delivery speed is acceptable. Havent try all yet.
j*****o,5,"Good product quality, good value for money. Thank you seller."
c*****0,5,The goods will arrive soon and I will buy it next time
d1bx6q0wl_,5,fast delivery and the package is good hope the taste also good
m*****w,5,Fast delivery and receive in good condition👍🏻 correct taste and quantity👍🏻
n*****0,5,"Fast delivery, affordable price, well packed. Will repurchase"
n*****4,5,Received in good condition. Repurchase many times ady. Good!
siakkee93,5,Received in good condition and well packaging. Delivery very fast.
s*****n,5,I haven’t try yet but received in good condition thank you seller
siaaaaa,5,"Fast shipping from this sellers. Purchase with affordable price. Will repeat order in future, taste good as wellll"
k*****o,5,"fast delivery, received in good condition, good product quality"
y*****4,5,Good received👍🏻cepat juga delivery...akan beli lagi....
c*****8,5,Haven't try yet. But thumb up for fast delivery and seller wrap with bubble wrap to avoid pressure on the items.
k*****k,5,还没吃过不知道味道，刚来的时候我还以为没有填充物包装，过后就看到货物外包了厚厚的泡泡纸，货物都很好哦。
a*****k,5,Fast delivery 🚚🚚🚚 packed nicelyy too can't wait to try thank seller
sy1665,2,包装要改进，容易压扁，需要用盒子包装，可是卖家只是用bubble wrap罢了。信息卖家也没有回复。尝试把盒子尽量恢复形状，可是还是不行，煮不了，需放在炉子上用锅煮了😕
yanxin1231,5,"Received in good condition and good wrapping 
Fast delivery"
e*****4,5,"Received in good condition , delivery quite slow. Thanks Seller."
9wgyovup776kufhv9pxm_st7ut1s,5,货到时间正常，商家服务态度满意，价格实惠，已经第二次重复购买，货物保存期满意，值得推荐，还会再次支持。
q*****s,5,Nice not bad 😇😇😇😇 Thank you for the fast delivery. 🚚🚚🚚🚚🚚🚚🚚🚚🚚
y*****9,5,Fast delivery and excellent service by seller. 5 star rate.
wenxin_0308,5,买了，到了，但是还没吃。整体来说，包装挺好的，快递速度也很快。可以给5星，赞，加油。Good Good Good Good Good Good Good Good Good Good Good Good Good Good Good Good Good
r*****9,5,"Delivery a bit slow but everything is fine, all items correct"
n*****6,5,Good product quality..good value for money fast delivery.. excellent service by seller❤️❤️❤️
sj64uf9t2v,5,"Luckily  received all items in good condition, as just put into box without any protection"
s*****1,5,Received in good condition ~~~thankyou seller~~~~~~~~~~
zgdx_soso,5,味道挺不错的，喜欢辣的宝宝们可以尝试，真的超级好吃👍还没尝试过的宝宝们捉紧时间下单哦❤️这商家出货很快，物流也快，超赞👍👍👍
s*****n,5,Very fast delivery!!!!! Faster than my expectations!!!!! The wrapping is nice too
estellakong,3,"Quality:还行吧
Taste:还未尝试，过几天在试吃

盒子有点凹陷，被压到"
jessicachen01,5,"Taste:good
Quality:goos"
yhai94,4,"Sorry I had to give 4 star for the dry BBQ version, personally I didn't like it at all and it is tasteless to me, I had to add my own mala sauce to enhance the taste, also it is not bbq at all, it just a dry steamboat version, but I like the steamboat version very much, anyway u guys can try it out"
